iter	Logloss
0	0.5759960778
1	0.4886510406
2	0.4093194322
3	0.3474446151
4	0.3038638392
5	0.2611127423
6	0.2233527278
7	0.1951570692
8	0.1720114436
9	0.1523974845
10	0.1363966917
11	0.1232658608
12	0.1121410877
13	0.103036236
14	0.0950162982
15	0.08871833725
16	0.08438125026
17	0.07953178714
18	0.07501201315
19	0.07207945476
20	0.06874823404
21	0.06629732911
22	0.06376891509
23	0.06156701785
24	0.05979117737
25	0.05855381029
26	0.0571559955
27	0.05603363419
28	0.0546409753
29	0.05364833226
30	0.05255408165
31	0.05193251213
32	0.05144928616
33	0.05068349717
34	0.05024644069
35	0.04979713917
36	0.04925883492
37	0.04880702962
38	0.04834643053
39	0.04808680557
40	0.0476784618
41	0.0470875447
42	0.04670870952
43	0.04633089807
44	0.0458572922
45	0.04538785241
46	0.04507665836
47	0.04477340513
48	0.04456032184
49	0.04445214441
50	0.04418132536
51	0.04376745616
52	0.04341436786
53	0.04310490677
54	0.04285911523
55	0.04269337535
56	0.04259243259
57	0.04241569642
58	0.04226220778
59	0.04194728933
60	0.04182461927
61	0.0416664148
62	0.04134627734
63	0.04120072265
64	0.04109676371
65	0.04083732028
66	0.04074110679
67	0.04058375076
68	0.04054649341
69	0.04036460243
70	0.04025584735
71	0.04010131622
72	0.03995796453
73	0.03970217562
74	0.03949561866
75	0.03925526102
76	0.03920615917
77	0.03915877762
78	0.03908600382
79	0.03890343204
80	0.03875037376
81	0.03864169314
82	0.03845390997
83	0.03834366896
84	0.03826108365
85	0.03821525834
86	0.03813408179
87	0.03802089513
88	0.03795840459
89	0.03788488971
90	0.03767970537
91	0.03755531684
92	0.0374625986
93	0.03733116945
94	0.03725680975
95	0.0372002349
96	0.03707314016
97	0.03695711858
98	0.03679635079
99	0.03659583596
100	0.03643778695
101	0.03635206136
102	0.03621630721
103	0.03618881315
104	0.03606685346
105	0.03606537518
106	0.03605423844
107	0.03598542092
108	0.0359824886
109	0.03594292011
110	0.03582685204
111	0.03572463026
112	0.03567937574
113	0.0355725939
114	0.0353762627
115	0.03536463286
116	0.0353375601
117	0.03525366556
118	0.03513306417
119	0.03502158685
120	0.03495102018
121	0.03493218638
122	0.03491118582
123	0.03488773275
124	0.0348169852
125	0.03476897692
126	0.03460252745
127	0.03456121561
128	0.03452397278
129	0.03447651009
130	0.03445138148
131	0.03445066097
132	0.03436725369
133	0.03426555444
134	0.03403629548
135	0.03396387167
136	0.03391818985
137	0.03387498638
138	0.03384895723
139	0.03373796088
140	0.03371040164
141	0.03360309382
142	0.03359046932
143	0.03356193841
144	0.03353793483
145	0.03346109436
146	0.03344846668
147	0.03339997735
148	0.03337264059
149	0.03333271254
150	0.03330141012
151	0.03324104051
152	0.03317472038
153	0.03311101766
154	0.03307611591
155	0.03290711055
156	0.03290231417
157	0.0327879623
158	0.03277971537
159	0.03272515098
160	0.03264243457
161	0.03260136634
162	0.03252294362
163	0.03248310013
164	0.03240336581
165	0.03235501165
166	0.03223988889
167	0.03219863912
168	0.03215898493
169	0.03208504221
170	0.03206759367
171	0.0320030378
172	0.03190843442
173	0.03187780614
174	0.03185631162
175	0.03182418127
176	0.03182370772
177	0.03176620275
178	0.03170790926
179	0.03167125103
180	0.0315802902
181	0.03150948436
182	0.03149004661
183	0.03146740448
184	0.03140684561
185	0.03131713226
186	0.03130127636
187	0.03117432621
188	0.03114690491
189	0.03109584861
190	0.03102425194
191	0.03099973234
192	0.03096669525
193	0.03090011875
194	0.03087184414
195	0.03085433738
196	0.03083233803
197	0.03076072017
198	0.03066352133
199	0.03059445079
200	0.03054688992
201	0.03049185953
202	0.03045328213
203	0.03043096143
204	0.03040217005
205	0.03035237645
206	0.03034672167
207	0.03032945602
208	0.03032276457
209	0.03026105885
210	0.03024068074
211	0.03021543122
212	0.0301543615
213	0.03012042365
214	0.03010463538
215	0.03003511244
216	0.03001959063
217	0.03000561911
218	0.0299484878
219	0.02992803106
220	0.02987373835
221	0.02986578836
222	0.02985182694
223	0.02983278095
224	0.02981256596
225	0.02980783597
226	0.02979542053
227	0.02969650305
228	0.0296779441
229	0.02965894544
230	0.02964431424
231	0.02962694379
232	0.02953610475
233	0.02952369953
234	0.02946177786
235	0.02942894644
236	0.02941651067
237	0.02933416906
238	0.02928766789
239	0.02924884327
240	0.02922210452
241	0.02916393059
242	0.0291522357
243	0.02912877583
244	0.02911741931
245	0.02910526678
246	0.02908382567
247	0.02905530153
248	0.02901215629
249	0.02900162185
250	0.02899622943
251	0.02895249803
252	0.02890769328
253	0.02884457838
254	0.02883633414
255	0.02879445843
256	0.02875258842
257	0.02874773049
258	0.02874302143
259	0.0286925066
260	0.02863473755
261	0.02862012316
262	0.02860643233
263	0.02856090044
264	0.02850483068
265	0.02849169127
266	0.02841163036
267	0.02839565942
268	0.02835269259
269	0.02833548203
270	0.02829467181
271	0.02827910344
272	0.02827487645
273	0.02823591165
274	0.02823173202
275	0.02821507853
276	0.02817775613
277	0.0281736205
278	0.02816961167
279	0.02812803692
280	0.0280889851
281	0.02805322227
282	0.02798991542
283	0.02795578655
284	0.02795178957
285	0.02791835516
286	0.02785980985
287	0.02785100063
288	0.027826218
289	0.02777993746
290	0.02775240108
291	0.02771873498
292	0.02769724905
293	0.02767442683
294	0.02765968563
295	0.02764577151
296	0.02760498759
297	0.02760135769
298	0.02753672815
299	0.02748180427
